unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z
1765412130943,14622,0,1.25,0.5,3684.373,430.7055,0.2753908,2338.682,430.7054,0.2753907,2245.827,430.7054,0.2753908
1765412130957,14623,0,1.25,0.5,3682.403,424.7638,0.2755175,2337.654,424.7634,0.2755175,2244.842,424.7635,0.2755175
1765412130971,14624,0,1.25,0.5,3681.4,419.3293,0.2755687,2337.133,419.3296,0.2755687,2244.338,419.3294,0.2755687
1765412130985,14625,0,1.25,0.5,3678.905,414.6497,0.2757568,2335.827,414.6498,0.2757568,2243.096,414.6497,0.2757568
1765412130998,14626,0,1.25,0.5,3678.449,410.097,0.2757597,2335.595,410.0969,0.2757597,2242.864,410.0969,0.2757597
1765412131013,14627,0,1.25,0.5,3679.804,406.198,0.2756156,2336.311,406.1976,0.2756156,2243.532,406.1976,0.2756156
1765412131027,14628,0,1.25,0.5,3681.643,402.2937,0.2754421,2337.278,402.2938,0.2754422,2244.441,402.2941,0.2754422
1765412131041,14629,0,1.25,0.5,3687.897,398.136,0.2748745,2340.568,398.1363,0.2748744,2247.539,398.1364,0.2748746
1765412131054,14630,0,1.25,0.5,3690.929,394.3115,0.2745999,2342.162,394.3118,0.2745999,2249.04,394.3118,0.2745999
1765412131068,14631,0,1.25,0.5,3695.235,390.6025,0.2742111,2344.427,390.6024,0.274211,2251.173,390.6024,0.274211
1765412131082,14632,0,1.25,0.5,3700.554,386.3533,0.2737221,2347.226,386.3533,0.2737221,2253.805,386.3533,0.2737221
1765412131096,14633,0,1.25,0.5,3705.934,381.6566,0.2732173,2350.059,381.657,0.2732173,2256.465,381.657,0.2732173
1765412131110,14634,0,1.25,0.5,3707.149,378.0555,0.273097,2350.7,378.0555,0.273097,2257.065,378.0547,0.273097
1765412131124,14635,0,1.25,0.5,3711.912,374.0975,0.2726672,2353.205,374.0979,0.2726672,2259.423,374.0979,0.2726672
1765412131138,14636,0,1.25,0.5,3715.617,369.6225,0.2723199,2355.157,369.6225,0.2723199,2261.255,369.6222,0.2723199
1765412131152,14637,0,1.25,0.5,3720.382,364.0959,0.2718692,2357.668,364.0959,0.2718692,2263.61,364.0959,0.2718692
1765412131166,14638,0,1.25,0.5,3726.09,358.2896,0.2713426,2360.674,358.2896,0.2713426,2266.434,358.2896,0.2713426
1765412131179,14639,0,1.25,0.5,3733.257,351.3999,0.2706866,2364.447,351.4003,0.2706866,2269.979,351.4003,0.2706866
1765412131193,14640,0,1.25,0.5,3744.042,341.9076,0.2697063,2370.125,341.9075,0.2697063,2275.314,341.9075,0.2697062
1765412131207,14641,0,1.25,0.5,3756.801,331.8478,0.2685675,2376.84,331.8477,0.2685674,2281.627,331.848,0.2685673
1765412131221,14642,0,1.25,0.5,3773.566,320.7726,0.2670949,2385.663,320.7725,0.2670949,2289.924,320.773,0.2670949
1765412131235,14643,0,1.25,0.5,3791.666,309.0603,0.2655262,2395.186,309.0607,0.2655262,2298.882,309.0602,0.2655261
1765412131249,14644,0,1.25,0.5,3813.658,294.9716,0.2636305,2406.761,294.9713,0.2636306,2309.765,294.9708,0.2636306
1765412131263,14645,0,1.25,0.5,3838.558,278.2599,0.2615082,2419.868,278.2593,0.2615081,2322.084,278.2594,0.2615082
1765412131277,14646,0,1.25,0.5,3867.001,260.6773,0.2591414,2434.837,260.6774,0.2591414,2336.16,260.6777,0.2591413
1765412131291,14647,0,1.25,0.5,3897.691,241.865,0.2566392,2450.989,241.8646,0.2566389,2351.349,241.8647,0.2566389
1765412131305,14648,0,1.25,0.5,3922.289,225.1633,0.2546811,2463.929,225.1632,0.2546811,2363.524,225.1633,0.2546811
1765412131318,14649,0,1.25,0.5,3939.947,211.9059,0.253311,2473.216,211.9059,0.253311,2372.268,211.9059,0.2533111
1765412131332,14650,0,1.25,0.5,3958.338,199.15,0.251902,2482.889,199.1497,0.251902,2381.376,199.1501,0.251902
1765412131346,14651,0,1.25,0.5,3976.805,187.0273,0.2505046,2492.601,187.0268,0.2505046,2390.521,187.0274,0.2505046
1765412131360,14652,0,1.25,0.5,3987.308,178.4985,0.2497459,2498.118,178.4977,0.2497459,2395.729,178.4981,0.2497459
1765412131374,14653,0,1.25,0.5,3999.025,169.0368,0.2488871,2504.278,169.0362,0.2488871,2401.534,169.0369,0.2488871
1765412131388,14654,0,1.25,0.5,4010.65,158.9863,0.2480358,2510.389,158.9867,0.2480357,2407.293,158.9863,0.2480358
1765412131402,14655,0,1.25,0.5,4019.804,149.894,0.2473745,2515.2,149.8944,0.2473745,2411.83,149.8943,0.2473745
1765412131415,14656,0,1.25,0.5,4030.956,139.9381,0.2465521,2521.069,139.9375,0.2465519,2417.353,139.9379,0.2465519
1765412131429,14657,0,1.25,0.5,4038.067,132.091,0.2460394,2524.805,132.0903,0.2460394,2420.873,132.0907,0.2460394
1765412131443,14658,0,1.25,0.5,4043.002,125.7951,0.2456932,2527.399,125.795,0.2456932,2423.32,125.7951,0.2456932
1765412131457,14659,0,1.25,0.5,4047.688,120.6892,0.2453721,2529.859,120.6887,0.2453721,2425.645,120.6892,0.2453721
1765412131471,14660,0,1.25,0.5,4049.12,116.8783,0.2452919,2530.608,116.8787,0.2452919,2426.359,116.8783,0.245292
1765412131485,14661,0,1.25,0.5,4051.472,113.9031,0.2451571,2531.837,113.9036,0.2451571,2427.531,113.9035,0.2451571
1765412131499,14662,0,1.25,0.5,4054.755,109.6015,0.244941,2533.559,109.6011,0.244941,2429.161,109.6011,0.244941
1765412131513,14663,0,1.25,0.5,4060.054,106.1594,0.2445915,2536.339,106.1589,0.2445915,2431.792,106.1594,0.2445915
1765412131527,14664,0,1.25,0.5,4064.61,103.5468,0.2443027,2538.727,103.5468,0.2443027,2434.057,103.5468,0.2443027
1765412131541,14665,0,1.25,0.5,4068.586,101.5417,0.2440594,2540.808,101.5417,0.2440596,2436.033,101.5417,0.2440596
1765412131555,14666,0,1.25,0.5,4075.688,98.73765,0.2435928,2544.536,98.73765,0.2435927,2439.56,98.73765,0.2435927
1765412131569,14667,0,1.25,0.5,4083.909,96.47922,0.2430557,2548.849,96.4788,0.2430557,2443.642,96.4788,0.2430557
1765412131582,14668,0,1.25,0.5,4093.434,93.75638,0.2424285,2553.848,93.75638,0.2424285,2448.369,93.75596,0.2424285
1765412131596,14669,0,1.25,0.5,4102.141,91.84119,0.2418623,2558.417,91.84172,0.2418623,2452.69,91.84161,0.2418623
1765412131610,14670,0,1.25,0.5,4106.756,90.47639,0.2415757,2560.836,90.47602,0.2415757,2454.984,90.47602,0.2415757
1765412131624,14671,0,1.25,0.5,4115.152,88.35344,0.2410235,2565.244,88.35344,0.2410235,2459.149,88.35355,0.2410235
1765412131638,14672,0,1.25,0.5,4123.501,85.78387,0.2404654,2569.63,85.78376,0.2404653,2463.289,85.78387,0.2404654
1765412131652,14673,0,1.25,0.5,4132.54,82.43941,0.2398499,2574.382,82.43989,0.2398499,2467.768,82.43994,0.2398499
1765412131666,14674,0,1.25,0.5,4140.303,79.16164,0.239318,2578.464,79.16122,0.239318,2471.613,79.16074,0.239318
1765412131680,14675,0,1.25,0.5,4147.435,76.49828,0.2388353,2582.212,76.49838,0.2388355,2475.145,76.49833,0.2388355
1765412131694,14676,0,1.25,0.5,4151.211,74.55025,0.238581,2584.198,74.54984,0.238581,2477.017,74.54994,0.238581
1765412131708,14677,0,1.25,0.5,4154.688,73.14433,0.2383486,2586.026,73.14433,0.2383486,2478.74,73.14444,0.2383486
1765412131721,14678,0,1.25,0.5,4155.898,72.20465,0.2382616,2586.663,72.20507,0.2382616,2479.339,72.20507,0.2382616
1765412131735,14679,0,1.25,0.5,4160.057,70.07594,0.2379606,2588.854,70.07541,0.2379606,2481.394,70.07594,0.2379606
1765412131749,14680,0,1.25,0.5,4162.396,69.67589,0.2377989,2590.085,69.67546,0.2377989,2482.552,69.67589,0.2377989
