unix_ms,frame,world_pos_x,world_pos_y,world_pos_z,center_screen_pos_x,center_screen_pos_y,center_screen_pos_z,left_screen_pos_x,left_screen_pos_y,left_screen_pos_z,right_screen_pos_x,right_screen_pos_y,right_screen_pos_z,video_x,video_y
1765412138180,15143,0.0,1.25,0.5,818.601,849.0147,0.5028415,854.4597,849.0147,0.5028414,803.6888,849.0145,0.5028415,1376.6909474018726,797.9165817367843
1765412138209,15145,0.0004213527,1.250671,0.5005484,819.3483,848.1182,0.5029382,854.8364,848.1183,0.5029383,804.0753,848.1182,0.5029383,1378.1518438850667,799.6909712346505
1765412138248,15148,0.0009376109,1.25118,0.5014672,820.0489,847.3525,0.5034279,855.1695,847.3527,0.5034279,804.4576,847.3527,0.503428,1379.4436497997085,801.2064549953357
1765412138275,15150,-0.0001900271,1.252206,0.5012889,818.5061,848.2518,0.5027881,854.4139,848.2515,0.5027881,803.6377,848.2515,0.5027883,1376.5134423394204,799.4270535664957
1765412138304,15152,-0.0002267584,1.254857,0.5014321,818.3988,850.5895,0.5018487,854.4067,850.5895,0.5018486,803.5353,850.5894,0.5018486,1376.4852166541987,794.7997462325932
1765412138345,15155,-0.0001985058,1.257629,0.5002922,818.2629,850.2523,0.4998481,854.4392,850.2526,0.4998479,803.3641,850.2523,0.499848,1376.6112901962988,795.466551489101
1765412138373,15157,0.0001828149,1.259425,0.4994603,818.7007,848.0608,0.4987993,854.7164,848.0608,0.4987992,803.534,848.0605,0.4987993,1377.686511515673,799.8046906291909
1765412138414,15160,0.001175575,1.268231,0.4991843,819.785,850.6818,0.4955486,855.4379,850.682,0.4955485,803.9197,850.6818,0.4955485,1380.4840252576967,794.6173857246151
1765412138442,15162,0.001517914,1.27428,0.4989295,820.0035,851.4046,0.4935985,855.6512,851.4044,0.4935986,803.9295,851.4046,0.4935985,1381.3110725603167,793.1877798682074
1765412138470,15164,0.001595266,1.279869,0.4989089,819.3651,849.3868,0.4921819,855.3997,849.387,0.4921819,803.5291,849.387,0.4921819,1380.3360611624823,797.1803860728382
1765412138512,15167,0.002823785,1.28914,0.4996032,819.8469,843.3709,0.4908736,855.7148,843.3708,0.4908736,803.7061,843.3709,0.4908737,1381.5587517110123,809.0876938983017
1765412138539,15169,0.00397785,1.297426,0.5006893,819.7223,840.9602,0.4900996,855.6923,840.9602,0.4900997,803.6013,840.9602,0.4900997,1381.4718152565133,813.8586685336093
1765412138581,15172,0.005195357,1.309027,0.5022868,818.8586,829.6025,0.4896651,855.2744,829.6024,0.489665,803.1373,829.6024,0.489665,1379.852752217196,836.3374107527061
1765412138609,15174,0.006092586,1.316267,0.5029981,818.4321,818.5992,0.4896846,855.0556,818.5992,0.4896846,802.9205,818.5991,0.4896847,1379.0057192884194,858.1144764811506
1765412138637,15176,0.00763163,1.325124,0.5044562,818.8989,809.8228,0.489888,855.3255,809.8228,0.4898881,803.1273,809.8228,0.489888,1380.0534922391755,875.4846615153815
1765412138679,15179,0.007765755,1.337816,0.504871,816.7859,788.5914,0.4889019,854.2993,788.5912,0.4889019,801.9958,788.5914,0.4889019,1376.0768331094775,917.5049242181872
1765412138708,15181,0.008101031,1.347468,0.5053195,815.8349,772.9227,0.4881803,853.8524,772.9227,0.4881804,801.4716,772.9232,0.4881803,1374.3458758178526,948.5152598506129
1765412138749,15184,0.00774923,1.366313,0.5047716,813.9097,749.2722,0.4845647,853.0649,749.2718,0.4845647,800.2932,749.2718,0.4845646,1371.295171170058,995.3238965367111
1765412138777,15186,0.007612944,1.379926,0.5045799,815.0074,738.506,0.4826644,853.7293,738.506,0.4826644,800.7498,738.5063,0.4826644,1373.8730087415076,1016.6317175375457
